,Bar Name,Url,Area,Address,Cuisine,Number of Reviews,Rating,Telephone,Website
91,MT Club(Wan Ti),https://www.tripadvisor.com/Restaurant_Review-g308272-d4704549-Reviews-MT_Club_Wan_Ti-Shanghai.html,Gubei / Hongqiao / Minhang1.6 miles from Riverside Promenade (Bingjiang Da Dao),"XuHuiQu Cao Xi BeiLu 1111Hao ShangHai TiYuGuan SiHao Men, Shanghai China","Bar, Pub",0,NaN,+86 21 5655 8785,NaN
92,PiaoLiang ShiTou Hotpot (JinQiao Carrefour),https://www.tripadvisor.com/Restaurant_Review-g308272-d4806518-Reviews-PiaoLiang_ShiTou_Hotpot_JinQiao_Carrefour-Shanghai.html,Pudong,"PuDong New Area Bi Yun Road 555, JinQiao JiaLeFu 1 Floor, Shanghai China",Pub,0,NaN,+86 21 5860 9639,NaN
93,Paulaner Brauhaus (Raffles City Changning),https://www.tripadvisor.com/Restaurant_Review-g308272-d19413978-Reviews-Paulaner_Brauhaus_Raffles_City_Changning-Shanghai.html,,"1197 Changning Lu Near Kaixuan Lu, Shanghai China",German,0,NaN,+86 6474 5700,http://www.bln-restaurants.com/paulane
94,Suit club,https://www.tripadvisor.com/Restaurant_Review-g308272-d16724780-Reviews-Suit_club-Shanghai.html,,"No.50 Ruijin Er Road, Shanghai China",NaN,0,NaN,+86 138 1898 1314,NaN
95,HuanXing QuanYou Ji,https://www.tripadvisor.com/Restaurant_Review-g308272-d7256938-Reviews-HuanXing_QuanYou_Ji-Shanghai.html,Pudong2.1 miles from Oriental Pearl Tower (Dongfang Mingzhu),"1/F, Zhongyou Yangguang Hotel, No.969 Dongfang Road, Pudong New Area, Shanghai China","Bar, Pub",0,NaN,+86 21 6859 6928,NaN
96,3D Art Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d3450302-Reviews-3D_Art_Bar-Shanghai.html,Hongmei Lu (Hongmei Road),"HongMei Road 3338 Lane 2, HongMeiXiuXian Street 11, Shanghai China","Bar, Pub",0,NaN,+86 21 6465 9833,NaN
97,Jian Dou Shi Yin Le Restaurant Jiu Ba,https://www.tripadvisor.com/Restaurant_Review-g308272-d3449848-Reviews-Jian_Dou_Shi_Yin_Le_Restaurant_Jiu_Ba-Shanghai.html,Jiangning Lu (Jiangning Road),"HaiFang Road 555 TongLeFang 3 Floor, Shanghai China","Bar, Pub",0,NaN,+86 21 5213 7798,NaN
98,Zhu Shi Fu Bao Zi Pu (Pu North Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d3448897-Reviews-Zhu_Shi_Fu_Bao_Zi_Pu_Pu_North_Road-Shanghai.html,Xuhui,"Pu Bei Road 936, Shanghai China",Pub,0,NaN,NaN,NaN
99,Xi Yi DaTing JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4771320-Reviews-Xi_Yi_DaTing_JiuBa-Shanghai.html,Hongkou0.6 miles from The Bund (Wai Tan),"WuSong Road 299, Shanghai China","Bar, Pub",0,NaN,+86 21 6393 8989,NaN
100,Cape Grape (Wuding Road),https://www.tripadvisor.com/Restaurant_Review-g308272-d12792733-Reviews-Cape_Grape_Wuding_Road-Shanghai.html,,"No.986 Wuding Road, Shanghai China",NaN,0,NaN,+86 21 6216 0087,NaN
101,Bao LaiNa Restaurant (Shi Bo),https://www.tripadvisor.com/Restaurant_Review-g308272-d4704565-Reviews-Bao_LaiNa_Restaurant_Shi_Bo-Shanghai.html,Pudong1.6 miles from Riverside Promenade (Bingjiang Da Dao),"Shi Bo DaDao 555Hao, Shanghai China","Bar, Pub",0,NaN,NaN,NaN
102,Forresse,https://www.tripadvisor.com/Restaurant_Review-g308272-d4601870-Reviews-Forresse-Shanghai.html,,"Xiangyangbeiluxchanglelu, Shanghai China",Wine Bar,0,NaN,+86 21 6418 1138,NaN
103,I Club,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449827-Reviews-I_Club-Shanghai.html,Luwan,"Gao Lan Lu 2Hao Jia FuXing Gong YuanNei, Shanghai China","Bar, Pub",0,NaN,NaN,NaN
104,Girls Bar Lapin,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449823-Reviews-Girls_Bar_Lapin-Shanghai.html,Pudong,"Lao ShanLu 713Hao, Shanghai China","Bar, Pub",0,NaN,+86 150 0087 1529,NaN
105,MT Club(Tong LeFang),https://www.tripadvisor.com/Restaurant_Review-g308272-d4449787-Reviews-MT_Club_Tong_LeFang-Shanghai.html,Jing'an,"HaiFang Lu 555Hao Tong LeFang 16Hao Lou, Shanghai China","Bar, Pub",0,NaN,+86 21 5213 5198,NaN
106,ZE BAR,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449746-Reviews-ZE_BAR-Shanghai.html,Wujiaochang,"SongHu Lu 252Hao Chuang Zhi TianDi 3Hao Lou 1Lou, Shanghai China","Bar, Pub",0,NaN,NaN,NaN
107,Ricky's Sports Bar&amp;G,https://www.tripadvisor.com/Restaurant_Review-g308272-d4449736-Reviews-Ricky_s_Sports_Bar_G-Shanghai.html,Pudong1.9 miles from Oriental Pearl Tower (Dongfang Mingzhu),"PuDong DaDao 930-936 Hao, Shanghai China","Bar, Pub",0,NaN,+86 21 5093 1519,NaN
108,JSW,https://www.tripadvisor.com/Restaurant_Review-g308272-d4962985-Reviews-JSW-Shanghai.html,Pudong,"PuDong New Area Zhang Yang Road 3611 Nong, JinQiao International Commercial Plaza 2 Tower 3 Floor, Shanghai China","Bar, Pub",0,NaN,+86 21 6089 7951,NaN
109,Friends Club,https://www.tripadvisor.com/Restaurant_Review-g308272-d4962930-Reviews-Friends_Club-Shanghai.html,Luwan,"LuWan District LuBan Road 166, FuRong Fang 1 Floor, Shanghai China","Bar, Pub",0,NaN,NaN,NaN
110,Shang Wan JiuBa ZhuoQiu HuiSuo,https://www.tripadvisor.com/Restaurant_Review-g308272-d4447635-Reviews-Shang_Wan_JiuBa_ZhuoQiu_HuiSuo-Shanghai.html,Century Park,"Jin Yan Lu 329Hao b1 Lou, Shanghai China","Bar, Pub",0,NaN,+86 21 6165 9897,NaN
111,ShiLiu JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4447587-Reviews-ShiLiu_JiuBa-Shanghai.html,Changning,"XingFu Lu 129Hao, Shanghai China","Bar, Pub",0,NaN,+86 21 6280 9326,NaN
112,TanGe Bang,https://www.tripadvisor.com/Restaurant_Review-g308272-d4447387-Reviews-TanGe_Bang-Shanghai.html,Pudong1.8 miles from The Bund (Wai Tan),"PuDong DaDao 535Hao Yu Jing DaFanDian Nei, Shanghai China","Bar, Pub",0,NaN,+86 21 5877 1881,NaN
113,XiJie JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4447138-Reviews-XiJie_JiuBa-Shanghai.html,Songjiang,"HengShanLu 237Hao, Shanghai China","Bar, Pub",0,NaN,+86 21 6472 4327,NaN
114,Lobby Lounge (JW Marriott Hotel Shanghai Changfeng Park),https://www.tripadvisor.com/Restaurant_Review-g308272-d7221174-Reviews-Lobby_Lounge_JW_Marriott_Hotel_Shanghai_Changfeng_Park-Shanghai.html,,"1/F, JW Marriott Hotel Shanghai Changfeng Park, No.158 Daduhe Road, Putuo District JW Marriott Hotel Shanghai Changfeng Park, Shanghai 200062 China","Bar, Pub",0,NaN,+86 21 2215 6620,http://jwmarriottchangfeng.co
115,Lenbach,https://www.tripadvisor.com/Restaurant_Review-g308272-d19256922-Reviews-Lenbach-Shanghai.html,,"No. 588, Dongchangzhi Road White Magnolia Square 2/F L2-12 Store, Shanghai China",NaN,0,NaN,+86 21 5566 9339,NaN
116,Moon Craft Bistro Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d19458810-Reviews-Moon_Craft_Bistro_Bar-Shanghai.html,Huangpu,"No. 505, Zhongshan South Road Rm101, No.7 Building, Old Matou Park, Shanghai 200000 China","Brew Pub, Bar, Pub, Fusion, Wine Bar, Beer restaurants",0,NaN,+86 135 1210 3203,NaN
117,HuanLeShiGuang,https://www.tripadvisor.com/Restaurant_Review-g308272-d5054979-Reviews-HuanLeShiGuang-Shanghai.html,Songjiang,"MinHang District Xin Song Road 1000, BaBiLun Plaza 3 Floor, Shanghai China","Bar, Pub",0,NaN,+86 189 3047 0469,NaN
118,View Bar,https://www.tripadvisor.com/Restaurant_Review-g308272-d15029379-Reviews-View_Bar-Shanghai.html,,"No.2 Huashan Road 7/F, Gaohe Mansion, Shanghai 200040 China",NaN,0,NaN,+86 139 1747 8745,NaN
119,BenSe JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4933751-Reviews-BenSe_JiuBa-Shanghai.html,Pudong,"PuDong New Area Bi Yun Road 777 Nong, Bi Yun Garden 20 102 Room, Shanghai China","Bar, Pub",0,NaN,NaN,NaN
120,RiShi JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4935278-Reviews-RiShi_JiuBa-Shanghai.html,Gubei / Hongqiao / Minhang,"HongSong Road 139, Shanghai China","Bar, Pub",0,NaN,+86 21 6402 1425,NaN
121,XingZuo JiuBa,https://www.tripadvisor.com/Restaurant_Review-g308272-d4935657-Reviews-XingZuo_JiuBa-Shanghai.html,Hongkou0.4 miles from The Bund (Wai Tan),"HuangPo North Road 251, Shanghai China","Bar, Pub",0,NaN,NaN,NaN
